="",="(1)",="",="",="",=""
="",=".",="",="",="",=""
="",="mean",="sd",="min",="max",="Obs"
="2005",="",="",="",="",=""
="Level of confidence in stategovt",=".7705887",=".4204597",="0",="1",=""
="Level of confidence in villagegovt",=".8074309",=".3943225",="0",="1",=""
="Level of confidence in politicians",=".4178145",=".4932057",="0",="1",=""
="Conflict: community",=".147395",=".3545039",="0",="1",=""
="Conflict: amount",=".043716",=".2044651",="0",="1",=""
="Cooperation during water shortage",=".5813524",=".4933438",="0",="1",=""
="Irrigation",=".2419351",=".4282607",="0",="1",=""
="Nighlight",="6.638782",="9.416082",=".0725592",="62.4648",=""
="Household sex",="1.092561",=".2898204",="1",="2",=""
="Household head: urban",=".7099747",=".4537796",="0",="1",=""
="2012",="",="",="",="",=""
="Level of confidence in stategovt",=".7940084",=".4044295",="0",="1",=""
="Level of confidence in villagegovt",=".8022481",=".3983091",="0",="1",=""
="Level of confidence in politicians",=".4910483",=".4999262",="0",="1",=""
="Conflict: community",=".1248919",=".3306005",="0",="1",=""
="Conflict: amount",=".0911703",=".2878548",="0",="1",=""
="Cooperation during water shortage",=".7320584",=".4428926",="0",="1",=""
="Irrigation",=".241061",=".4277327",="0",="1",=""
="Nighlight",="9.001408",="10.56162",=".098526",="62.88403",=""
="Household sex",="1.144957",=".352062",="1",="2",=""
="Household head: urban",=".682417",=".4655422",="0",="1",=""
="Total",="",="",="",="",=""
="Level of confidence in stategovt",=".7824364",=".4125916",="0",="1",=""
="Level of confidence in villagegovt",=".804809",=".3963502",="0",="1",=""
="Level of confidence in politicians",=".4548624",=".4979616",="0",="1",=""
="Conflict: community",=".136011",=".3428025",="0",="1",=""
="Conflict: amount",=".0677225",=".2512707",="0",="1",=""
="Cooperation during water shortage",=".6575924",=".4745182",="0",="1",=""
="Irrigation",=".2414929",=".4279912",="0",="1",=""
="Nighlight",="7.834001",="10.08137",=".0725592",="62.88403",=""
="Household sex",="1.119068",=".32387",="1",="2",=""
="Household head: urban",=".6960337",=".4599712",="0",="1",=""
="Observations",="77729",="",="",="",=""
